Time,SurfWaterMass,EruptionRate,TMan,MagMom
2.75,1.350907e-05,1578480000.0,2341.971635,0.0
2.7600000000000002,1.347813e-05,1572635000.0,2341.798882,0.0
2.77,1.344792e-05,1566811000.0,2341.62648,0.0
2.7800000000000002,1.341844e-05,1561016000.0,2341.454428,0.0
2.79,1.338967e-05,1555246000.0,2341.282727,0.0
2.8000000000000003,1.336162e-05,1549500000.0,2341.111375,0.0
2.81,1.333426e-05,1543776000.0,2340.940372,0.0
2.82,1.33076e-05,1538080000.0,2340.769718,0.0
2.83,1.328163e-05,1532406000.0,2340.599412,0.0
2.84,1.325634e-05,1526757000.0,2340.429454,0.0
2.85,1.323172e-05,1521131000.0,2340.259843,0.0
2.86,1.320777e-05,1515528000.0,2340.090579,0.0
2.87,1.318448e-05,1509952000.0,2339.921662,0.0
2.88,1.316184e-05,1504398000.0,2339.75309,0.0
2.89,1.313985e-05,1498867000.0,2339.584864,0.0
2.9,1.31185e-05,1493359000.0,2339.416983,0.0
2.91,1.309779e-05,1487875000.0,2339.249446,0.0
2.92,1.30777e-05,1482414000.0,2339.082254,0.0
2.93,1.305824e-05,1476975000.0,2338.915405,0.0
2.94,1.303939e-05,1471560000.0,2338.7489,0.0
2.95,1.302116e-05,1466168000.0,2338.582737,0.0
2.96,1.300353e-05,1460795000.0,2338.416916,0.0
2.97,1.298651e-05,1455447000.0,2338.251438,0.0
2.98,1.296706e-05,1449466000.0,2338.08643,0.0
2.99,1.293794e-05,1442705000.0,2337.922995,0.0
3.0,1.290842e-05,1436029000.0,2337.761357,0.0
3.0100000000000002,1.287896e-05,1429439000.0,2337.601439,0.0
3.02,1.284958e-05,1422934000.0,2337.44316,0.0
3.0300000000000002,1.28203e-05,1416511000.0,2337.286445,0.0
3.04,1.279112e-05,1410168000.0,2337.131223,0.0
3.0500000000000003,1.276207e-05,1403900000.0,2336.977425,0.0
3.06,1.273317e-05,1397702000.0,2336.824986,0.0
3.0700000000000003,1.270443e-05,1391578000.0,2336.673844,0.0
3.08,1.267589e-05,1385519000.0,2336.523941,0.0
3.09,1.264754e-05,1379525000.0,2336.375222,0.0
3.1,1.261942e-05,1373593000.0,2336.227634,0.0
3.11,1.259154e-05,1367721000.0,2336.08113,0.0
3.12,1.256391e-05,1361907000.0,2335.935661,0.0
3.13,1.253654e-05,1356149000.0,2335.791184,0.0
3.14,1.250946e-05,1350442000.0,2335.647657,0.0
3.15,1.248266e-05,1344789000.0,2335.505041,0.0
3.16,1.245617e-05,1339184000.0,2335.363298,0.0
3.17,1.242998e-05,1333630000.0,2335.222394,0.0
