_RAJ2000;_DEJ2000;ID;Bmag;e_Bmag;Vmag;e_Vmag;Imag;e_Imag
322.50108;+12.16728;5019179;19.181; 0.026;18.927; 0.022;17.843; 0.036
322.50125;+12.21153;5019180;20.883; 0.015;20.477; 0.017;19.737; 0.036
322.50108;+12.16700;5019181;19.254; 0.044;19.054; 0.054;18.013; 0.037
322.50117;+12.19406;5019182;18.790; 0.007;18.253; 0.014;17.405; 0.010
322.50092;+12.11928;5019184;21.652; 0.023;20.980; 0.023;20.325; 0.037
322.50100;+12.15022;5019185;20.548; 0.025;20.087; 0.023;19.147; 0.068
322.50121;+12.20339;5019186;21.648; 0.027;21.096; 0.028;20.211; 0.035
322.50129;+12.23192;5019187;21.329; 0.012;20.782; 0.014;20.019; 0.027
322.50092;+12.12572;5019188;21.399; 0.028;20.742; 0.030;19.785; 0.052
322.50096;+12.14053;5019189;20.463; 0.016;20.002; 0.018;19.298; 0.023
322.50129;+12.23075;5019190;22.511; 0.040;21.707; 0.028;20.649; 0.043
322.50112;+12.19097;5019191;19.977; 0.014;19.472; 0.015;18.849; 0.022
322.50112;+12.19628;5019194;21.848; 0.030;21.055; 0.026;20.125; 0.035
322.50092;+12.12992;5019195;22.003; 0.033;21.181; 0.031;20.399; 0.049
322.50087;+12.12308;5019196;21.865; 0.024;21.179; 0.026;20.199; 0.042
322.50129;+12.24300;5019197;20.929; 0.009;20.364; 0.009;19.644; 0.019
322.50108;+12.18261;5019198;20.633; 0.020;20.190; 0.022;19.100; 0.036
322.50092;+12.13375;5019199;20.897; 0.027;20.424; 0.023;19.641; 0.040
322.50121;+12.22136;5019200;21.485; 0.039;20.848; 0.034;20.126; 0.046
322.50096;+12.14225;5019202;21.598; 0.040;20.505; 0.053;20.007; 0.059
322.50125;+12.23444;5019203;21.197; 0.010;20.648; 0.012;19.901; 0.023
322.50112;+12.19739;5019204;20.811; 0.016;20.184; 0.026;19.547; 0.027
322.50079;+12.09692;5019206;21.597; 0.015;20.932; 0.018;20.056; 0.025
322.50092;+12.13342;5019209;21.346; 0.021;20.857; 0.024;20.026; 0.039
322.50108;+12.18472;5019210;19.021; 0.018;18.809; 0.028;17.910; 0.025
322.50083;+12.11636;5019211;21.569; 0.029;21.022; 0.028;20.146; 0.042
322.50096;+12.15986;5019212;18.258; 0.022;17.465; 0.016;16.590; 0.015
322.50104;+12.18644;5019215;20.536; 0.026;19.771; 0.024;19.131; 0.032
322.50104;+12.16856;5019216;17.588; 0.016;16.858; 0.013;15.882; 0.010
322.50112;+12.19842;5019217;19.449; 0.007;19.074; 0.020;18.299; 0.015
322.50121;+12.22908;5019218;21.458; 0.015;20.847; 0.015;20.087; 0.027
322.50092;+12.13056;5019219;22.093; 0.030;21.367; 0.034;20.356; 0.045
322.50117;+12.21233;5019220;21.544; 0.021;20.909; 0.023;20.062; 0.024
322.50100;+12.17392;5019221;18.591; 0.017;17.894; 0.013;17.070; 0.015
322.50083;+12.11669;5019222;21.440; 0.024;20.968; 0.030;20.111; 0.032
322.50129;+12.25322;5019223;19.569; 0.008;19.010; 0.007;18.290; 0.011
322.50087;+12.13697;5019224;21.609; 0.027;21.007; 0.030;20.336; 0.044
322.50108;+12.20056;5019225;20.427; 0.009;19.989; 0.010;19.271; 0.020
322.50092;+12.14711;5019226;21.625; 0.066;21.023; 0.068;20.073; 0.066
322.50092;+12.14600;5019227;20.551; 0.017;20.079; 0.018;19.343; 0.029
322.50071;+12.07858;5019228;22.025; 0.030;21.337; 0.035;20.487; 0.047
322.50104;+12.18761;5019230;19.600; 0.009;19.105; 0.011;18.357; 0.018
322.50079;+12.11778;5019232;22.362; 0.048;21.657; 0.043;20.796; 0.049
322.50104;+12.18458;5019234;18.273; 0.012;17.653; 0.016;16.864; 0.016
322.50117;+12.22089;5019235;19.779; 0.019;19.184; 0.024;18.746; 0.031
322.50037;+11.98494;5019237;21.295; 0.015;20.655; 0.021;19.823; 0.029
322.50104;+12.19489;5019238;21.726; 0.029;21.122; 0.028;20.283; 0.045
322.50104;+12.19117;5019240;19.672; 0.018;19.311; 0.024;18.620; 0.032
322.50117;+12.22642;5019242;21.992; 0.022;21.364; 0.024;20.593; 0.041
322.50087;+12.14486;5019243;19.756; 0.018;19.426; 0.017;18.793; 0.018
